1507.098000 0 3.47066 7.08056 18.7857 19.5412 26.0928
1514.104000 0 3.50125 7.33032 18.5902 19.3291 25.1515
1521.110000 0 3.52205 7.53745 17.9271 18.6023 23.8155
1528.116000 0 3.50114 7.43681 16.899 17.5275 22.0685
1535.118000 0 3.58546 7.14686 15.5812 16.0629 20.3454
1542.120000 0 3.4248 6.60332 14.0924 14.1971 18.4605
1549.122000 0 3.2521 5.99467 12.6776 12.9308 16.5785
1556.126000 0 3.16642 5.21843 11.2312 11.4047 14.924
1563.126000 0 3.03126 4.56447 9.94381 10.0125 13.4411
1570.128000 0 3.01876 3.9182 9.0144 9.04467 12.6064
1577.128000 0 2.89357 3.30089 8.15459 8.18227 11.9755
1584.128000 0 2.74704 2.76844 7.69822 7.63421 11.7567
1591.128000 0 2.6875 2.42112 7.45557 7.4441 11.6016
1598.128000 0 2.59178 2.25424 7.33411 7.34844 11.5208
1605.130000 0 2.56442 2.16746 7.17147 7.24115 11.3505
1612.134000 0 2.46946 2.06103 7.0374 7.11688 11.2368
1619.136000 0 2.35256 2.18879 6.95093 7.1535 11.1479
1626.138000 0 2.42293 2.35332 6.88742 7.14816 11.0459
1633.140000 0 2.50455 2.46172 6.88952 7.08881 10.9494
1640.148000 0 2.468 2.48133 6.90214 7.08932 10.9152
1647.150000 0 2.61152 2.54867 7.05562 7.14356 11.2328
1654.152000 0 2.73894 2.5145 7.39097 7.43625 11.7988
1661.152000 0 2.853 2.62307 7.9019 7.86636 12.2043
1668.154000 0 2.89473 2.80184 8.24552 8.16197 12.6956
1675.160000 0 3.02816 2.98048 8.4445 8.46222 12.9368
1682.166000 0 3.08326 3.07884 8.5487 8.49036 13.0997
1689.166000 0 3.10039 3.10963 8.59643 8.60486 13.2785
1696.168000 0 3.06247 3.21046 8.61837 8.62516 13.3185
1703.168000 0 3.07046 3.13959 8.3969 8.47296 13.08
1710.170000 0 2.94218 2.93123 8.00101 8.13144 12.7383
1717.172000 0 2.82267 2.81749 7.57204 7.72526 12.3822
1724.174000 0 2.66904 2.57964 7.20179 7.38802 12.2663
1731.174000 0 2.61606 2.36288 6.95406 7.16454 12.3189
1738.174000 0 2.66461 2.36497 7.02446 7.23095 12.2846
1745.174000 0 2.65609 2.40941 7.13442 7.3267 12.1986
1752.176000 0 2.74263 2.53518 7.11584 7.22042 11.6056
1759.176000 0 2.77377 2.56382 6.6544 6.73098 10.7596
1766.176000 0 2.75316 2.36921 6.00021 5.9664 9.80238
1773.180000 0 2.71473 2.05 5.18788 5.10911 8.85112
1780.180000 0 2.65578 1.58506 4.33702 4.21051 8.00508
1787.180000 0 2.55693 1.15172 3.58406 3.43587 7.27674
1794.180000 0 2.49016 0.724323 3.0062 2.79572 6.8891
1801.180000 0 2.4477 0.373343 2.60742 2.3903 6.78524
